"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final"
"87",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,7,37,13,13,0.0729192548673674,0.983949399666394,1,NA,NA,NA,8,38,13,14,0.0892458335569816,0.980618576980432,1,NA,NA,NA
"88",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,16,26,0.348402234145378,0.885481203178823,1,NA,NA,NA,18,40,16,26,0.348402234145378,0.885481203178823,1,NA,NA,NA
"89",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,16,26,0.209793938275303,0.954814512836745,1,NA,NA,NA,14,44,16,26,0.209793938275303,0.954814512836745,1,NA,NA,NA
"90",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,20,22,0.245434657644366,0.93524724150681,1,NA,NA,NA,19,39,20,22,0.245434657644366,0.93524724150681,1,NA,NA,NA
"91",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,24,34,17,25,0.523283122445202,0.742775523284789,1,NA,NA,NA,24,34,17,25,0.523283122445202,0.742775523284789,1,NA,NA,NA
"92",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,16,42,14,28,0.351970938004688,0.888708180386772,1,NA,NA,NA,16,42,14,28,0.351970938004688,0.888708180386772,1,NA,NA,NA
"93",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,15,27,0.38676428033474,0.862518273962926,1,NA,NA,NA,18,40,15,27,0.38676428033474,0.862518273962926,1,NA,NA,NA
"94",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,8,34,15,13,0.0853928572390975,0.979270133730656,1,NA,NA,NA,8,37,15,13,0.0663449925588181,0.985842457076799,1,NA,NA,NA
"95",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,17,25,0.180381962705693,0.96398896464368,1,NA,NA,NA,14,44,17,25,0.180381962705693,0.96398896464368,1,NA,NA,NA
"96",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,12,42,18,22,0.117295449866845,0.978939232750928,1,NA,NA,NA,12,44,19,22,0.0903794370071644,0.986024661219225,1,NA,NA,NA
"97",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,10,38,16,16,0.0970097194274179,0.979679219772065,1,NA,NA,NA,10,40,16,17,0.0899486139834006,0.982780969595582,1,NA,NA,NA
"98",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,15,43,17,25,0.211508642691308,0.952780052220784,1,NA,NA,NA,15,43,17,25,0.211508642691308,0.952780052220784,1,NA,NA,NA
"99",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,17,25,0.346952838895822,0.884324331901928,1,NA,NA,NA,19,39,17,25,0.346952838895822,0.884324331901928,1,NA,NA,NA
"100",1,0.27,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,17,25,0.346952838895822,0.884324331901928,1,NA,NA,NA,19,39,17,25,0.346952838895822,0.884324331901928,1,NA,NA,NA
"101",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,26,32,18,24,0.553738250549436,0.710328358292263,1,NA,NA,NA,26,32,18,24,0.553738250549436,0.710328358292263,1,NA,NA,NA
"102",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,22,36,12,30,0.653213633460536,0.613253631206813,1,NA,NA,NA,22,36,12,30,0.653213633460536,0.613253631206813,1,NA,NA,NA
"103",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,14,44,17,25,0.180381962705693,0.96398896464368,1,NA,NA,NA,14,44,17,25,0.180381962705693,0.96398896464368,1,NA,NA,NA
"104",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,18,40,20,22,0.214993982519859,0.94833469347955,1,NA,NA,NA,18,40,20,22,0.214993982519859,0.94833469347955,1,NA,NA,NA
"105",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,8,35,14,13,0.0901057867556291,0.978365579644806,1,NA,NA,NA,8,35,15,15,0.090926348156513,0.978877425725783,1,NA,NA,NA
"106",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,22,36,19,23,0.37825818756088,0.860350353978182,1,NA,NA,NA,22,36,19,23,0.37825818756088,0.860350353978182,1,NA,NA,NA
"107",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,18,24,0.31126106577349,0.903997254028525,1,NA,NA,NA,19,39,18,24,0.31126106577349,0.903997254028525,1,NA,NA,NA
"108",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,22,36,24,18,0.213384563775769,0.946414902195238,1,NA,NA,NA,22,36,24,18,0.213384563775769,0.946414902195238,1,NA,NA,NA
"109",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,24,34,15,27,0.600642747361631,0.665582202007371,1,NA,NA,NA,24,34,15,27,0.600642747361631,0.665582202007371,1,NA,NA,NA
"110",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,9,37,16,18,0.100817506479909,0.978542280860315,1,NA,NA,NA,9,39,16,19,0.0927752581219691,0.982028943405152,1,NA,NA,NA
"111",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,13,29,0.506129180649108,0.771733230165493,1,NA,NA,NA,19,39,13,29,0.506129180649108,0.771733230165493,1,NA,NA,NA
"112",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,17,41,13,29,0.431124079869371,0.83676425555414,1,NA,NA,NA,17,41,13,29,0.431124079869371,0.83676425555414,1,NA,NA,NA
"113",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,19,39,23,19,0.161280371471571,0.966117960094352,1,NA,NA,NA,19,39,23,19,0.161280371471571,0.966117960094352,1,NA,NA,NA
"114",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,23,35,17,25,0.488390480522332,0.775677661018609,1,NA,NA,NA,23,35,17,25,0.488390480522332,0.775677661018609,1,NA,NA,NA
"115",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,22,36,12,30,0.653213633460536,0.613253631206813,1,NA,NA,NA,22,36,12,30,0.653213633460536,0.613253631206813,1,NA,NA,NA
"116",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,13,45,17,25,0.150943074663257,0.973150733131985,1,NA,NA,NA,13,45,17,25,0.150943074663257,0.973150733131985,1,NA,NA,NA
"117",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,23,35,18,24,0.450142498181346,0.80706913691496,1,NA,NA,NA,23,35,18,24,0.450142498181346,0.80706913691496,1,NA,NA,NA
"118",2,0.33,0.39,2,1,4,0,1,0.5,0.05,100,70,100,24,34,17,25,0.523283122445202,0.742775523284789,1,NA,NA,NA,24,34,17,25,0.523283122445202,0.742775523284789,1,NA,NA,NA
