"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","idx"
"161",1,0.01848,0.01504,0.02524,0.02428,0.71308,0.6868,NA,NA,0.391288650793651,0.393515867599938,95.41252,98.1196,0.404913420736025,0.40596429965526,0.96968,0.9688,91
"162",1,0.01612,0.01476,0.02176,0.02152,0.70648,0.69172,NA,NA,0.391144196428571,0.393465813946913,97.19488,99.66912,0.404466247960195,0.405655117182152,0.96928,0.97096,92
"163",1,0.01712,0.01424,0.02292,0.02248,0.71488,0.68816,NA,NA,0.391124620879121,0.393406500433425,94.95968,97.85764,0.404684129060211,0.405825683632125,0.97036,0.97012,93
"164",1,0.01656,0.01476,0.02384,0.02352,0.71224,0.69764,NA,NA,0.391374826839827,0.39358407845991,96.91568,99.54116,0.404589481318491,0.405708781376519,0.97,0.9684,94
"165",1,0.01892,0.01596,0.02516,0.02468,0.71168,0.686,NA,NA,0.391509520255864,0.393617688372607,94.6462,97.74864,0.406186892658141,0.405983026278194,0.96536,0.96736,95
"166",1,0.01428,0.01348,0.02028,0.02024,0.71152,0.69716,NA,NA,0.391733613445378,0.393939314718424,96.87632,99.64032,0.404717976710784,0.405871376599233,0.9732,0.97276,96
"167",1,0.01764,0.01488,0.02468,0.02448,0.71384,0.68644,NA,NA,0.392080776397516,0.39429855112288,94.7054,97.92312,0.405302654565879,0.406401990710678,0.96928,0.96764,97
"168",1,0.0198,0.01524,0.0252,0.02432,0.71432,0.69996,NA,NA,0.392086428571429,0.394040717727723,96.30544,99.3116,0.40505537962441,0.40597615562662,0.96572,0.96736,98
"169",1,0.01636,0.01448,0.02224,0.02188,0.71584,0.68616,NA,NA,0.392063526156942,0.39426736433256,94.63404,98.02628,0.405120272881993,0.406229709258552,0.97112,0.97104,99
"170",1,0.40356,0.27332,0.43212,0.41712,0.18268,0.11608,NA,NA,0.493787411432689,0.489255697437355,85.92584,90.25844,0.496173181026627,0.492225828328718,0.90808,0.92208,9
