"","y1.PC","y0.PC","y1.IP","y0.IP","box.ni","box.skpt","box.enth","pm_rd","pm_pi0","lower_rd","upper_rd","lower_pi0","upper_pi0"
"3135",16,24,32,19,0.878240895852092,0.105946922088194,0.65004780900439,0.157359523526012,0.434483667307906,0.0227098702370801,0.324114211344676,0.288288924985631,0.548145626092462
"3136",16,24,32,20,0.894168574329729,0.132391406566465,0.712557418865706,0.15117248063265,0.429782182928754,0.0190323432473907,0.324582322082458,0.268276779014812,0.544425240979643
"3137",16,24,32,21,0.905167539442027,0.164168060130428,0.772573316519845,0.141956651575945,0.433121673981987,0.025674246796921,0.328977409467531,0.269915985179042,0.552470073209324
"3138",16,24,32,23,0.932125942141438,0.2318458636071,0.865399826676481,0.135730244263385,0.422813262271753,0.0141232635855297,0.31168399663371,0.248014265098138,0.52570956266788
"3139",16,24,33,18,0.836917127301508,0.0711978884078072,0.541631657880618,0.176931215452722,0.436301713554876,0.0270147733291293,0.314318672743715,0.341489459812771,0.554618224694041
"3140",16,24,33,19,0.86226373957502,0.0884691740158578,0.607889041059563,0.164791036747705,0.433112248804469,0.0247706239134242,0.316479012724717,0.309295535531764,0.551521477512035
"3141",16,24,33,20,0.890034086185081,0.113241492927096,0.668993241753702,0.156819864238979,0.43468691861759,0.0307060264157836,0.317961247766142,0.294370234819365,0.545116912109366
"3142",16,24,33,21,0.89789273917426,0.143662731749186,0.730800957767236,0.145341282932066,0.434103450277051,0.0132799485657036,0.323151622397433,0.267722685232923,0.553489032746719
"3143",16,24,33,22,0.906995907707158,0.17052239286001,0.784294215000229,0.142633673744161,0.428646108718902,0.0169138249436925,0.317575511307533,0.260369454136759,0.543702180538309
"3144",16,24,33,24,0.93585409451059,0.24144940391436,0.878227889939617,0.129325789813674,0.425641534529627,0.0120705992022772,0.319588267642746,0.239502324412814,0.533193024855054
"3145",16,24,34,17,0.805482939988541,0.0460646655900787,0.435630072925937,0.194519211297017,0.434673233728102,0.0524063811773433,0.301496628845907,0.361520581713361,0.553364402391331
"3146",16,24,34,19,0.854368458420207,0.0754375112102846,0.565156217787724,0.166680733090323,0.438970280851006,0.0301893040139414,0.318940683516769,0.313315402628463,0.559514955715423
"3147",16,24,34,20,0.877277548917408,0.0970511914811941,0.629091231767944,0.160043010626241,0.435013852428378,0.0107925534761553,0.319816111153313,0.297601698741714,0.556140029050663
"3148",16,24,34,21,0.8909168307434,0.120366824677227,0.692273626144915,0.154388327908337,0.431719218578413,0.0271792737931786,0.322282728033814,0.285308924656772,0.544314930813266
"3149",16,24,34,22,0.899927624659376,0.148005144002132,0.745672214014248,0.147438604681698,0.430144220802708,0.0269947328907379,0.31741825636232,0.27481323928464,0.542711159397358
"3150",16,24,34,23,0.910121651334731,0.17599287244675,0.795523636933947,0.136567075041889,0.428864829122059,0.0169172340891101,0.31629304700759,0.25880295872662,0.536018067594979
"3151",16,24,35,20,0.863598367396673,0.0807593237789005,0.590318176826979,0.167719572129557,0.432479429442961,0.0329509201633801,0.317817382502247,0.309411616476484,0.547502097977823
"3152",16,24,35,22,0.89454461993913,0.126988655293803,0.709895637415247,0.15393194536381,0.43098507237305,0.0231163149511218,0.321120296922592,0.291453688355496,0.548053157735153
"3153",16,24,35,23,0.903225124934739,0.153265409645578,0.757342636686578,0.148596886098459,0.429077991374834,0.0235363398036349,0.316602495937972,0.271738497682616,0.548576738484555
"3154",16,24,36,19,0.821267715706715,0.056397937106864,0.491022481401657,0.188820848109939,0.434898715609782,0.0558656774360456,0.302048775737948,0.363877036786448,0.550931470817771
"3155",16,24,36,21,0.872252470142327,0.0878299743858559,0.612647067526093,0.162706214278903,0.435302231125148,0.0454779851138008,0.31690461200238,0.320000270422378,0.548964887907407
"3156",16,24,36,22,0.890744426820791,0.109425986715663,0.667160236074497,0.158308928766344,0.432559843865213,0.0205310934675721,0.320745624870614,0.281596175054235,0.550140919077611
"3157",16,24,37,20,0.833871171048903,0.0612974042612174,0.516459399376942,0.177475625401961,0.437857198548887,0.0388372273069814,0.320327770703506,0.339598386642179,0.561287584809623
"3158",16,25,30,14,0.754674054847503,0.0316615784718434,0.34696508539106,0.221716677280601,0.421837313214496,0.065232116073049,0.299342583943958,0.395442092814405,0.554407491113522
"3159",16,25,30,18,0.87213028154211,0.0970396189481821,0.625838900276603,0.162376471005824,0.423523780638716,0.0332064848662054,0.31168250290986,0.307725991213716,0.539700031055424
"3160",16,25,30,20,0.908146725976645,0.156160299308287,0.754963936003945,0.14425086289216,0.421583100543693,0.0115586270242709,0.308874721289756,0.26207477977345,0.531003395405563
"3161",16,25,31,19,0.883142558920363,0.104496030096806,0.645663948587808,0.162284875463178,0.424228002050326,0.0258416656008452,0.304503761343224,0.309313298234751,0.536662544760675
"3162",16,25,31,20,0.902133000910233,0.132391376463737,0.710501328425999,0.14803967606293,0.424151511772846,0.0129914458793834,0.31264765524556,0.277698352344635,0.536531058827063
"3163",16,25,31,21,0.909998941867981,0.160076897316386,0.770241922838951,0.147109928166459,0.419889613392502,0.024298785596917,0.310737332998744,0.265410745683762,0.53104841823779
"3164",16,25,31,23,0.939763064344971,0.233784053539507,0.865810718801874,0.132800172782778,0.418246320070964,0.016802195533874,0.311154156576996,0.254871434894628,0.526621212958311
"3165",16,25,32,20,0.893369187831923,0.114653083143408,0.669827721419317,0.158750727633289,0.421381913464186,0.0387322441532055,0.305945070415532,0.289897834265815,0.529677990653871
"3166",16,25,32,21,0.902673308916949,0.140244232301789,0.726135046226979,0.147571598187195,0.424667121679862,0.0148246330691889,0.311344407535803,0.273038825488105,0.541179025717665
"3167",16,25,32,22,0.917598456603177,0.170141574399669,0.779267454708266,0.142026360837453,0.419253411533725,0.0107524255562743,0.304815187574432,0.254587843573434,0.525703324545488
